pfn,tot_access_count,tlb_hit,tlb_tot_miss,tlb_miss_pt_hit,tlb_miss_pt_miss,tlb_miss_pt_miss_outstand,tlb_miss_pt_miss_pending
786432,446,159,287,0,287,1,255
786433,892,446,446,0,446,1,445
786434,1338,733,605,0,605,1,604
786435,1338,733,605,0,605,1,604
786436,1338,1051,287,0,287,1,286
786437,1338,733,605,0,605,1,574
786438,1338,733,605,0,605,1,604
786439,1338,733,605,318,287,1,286
786440,1338,892,446,159,287,1,255
786441,1338,892,446,0,446,1,445
786442,1338,733,605,0,605,1,604
786443,1338,733,605,0,605,1,604
786444,1338,1051,287,0,287,1,286
786445,1338,733,605,0,605,1,604
786446,1338,733,605,0,605,1,604
786447,1338,733,605,318,287,1,286
786448,1338,892,446,159,287,1,271
786449,1338,892,446,0,446,1,445
786450,1338,733,605,0,605,1,604
786451,1338,733,605,0,605,1,604
786452,1338,1051,287,0,287,1,286
786453,1338,733,605,0,605,1,604
786454,1338,733,605,0,605,1,604
786455,1338,733,605,0,605,1,604
786456,1338,892,446,159,287,1,271
786457,1338,733,605,0,605,1,604
786458,1338,1051,287,0,287,1,286
786459,1338,733,605,0,605,1,604
786460,1338,733,605,0,605,1,604
786461,1338,1051,287,0,287,1,286
786462,1338,892,446,0,446,1,445
786463,1338,733,605,318,287,1,286
786464,1338,892,446,159,287,1,286
786465,1338,892,446,0,446,1,445
786466,1338,1051,287,0,287,1,286
786467,1338,733,605,0,605,1,604
786468,1338,733,605,0,605,1,604
786469,1338,1051,287,0,287,1,286
786470,1338,892,446,0,446,1,445
786471,1338,733,605,0,605,1,604
786472,1338,892,446,159,287,1,286
786473,1338,733,605,0,605,1,604
786474,1338,1051,287,0,287,1,286
786475,1338,733,605,0,605,1,603
786476,1338,733,605,0,605,1,604
786477,1338,1051,287,0,287,1,286
786478,1338,892,446,0,446,1,416
786479,1338,733,605,318,287,1,286
786480,1338,892,446,159,287,1,286
786481,1338,892,446,0,446,1,445
786482,1338,1051,287,0,287,1,286
786483,1338,733,605,0,605,1,604
786484,1338,1051,287,0,287,1,286
786485,1338,1051,287,0,287,1,286
786486,1338,892,446,0,446,1,445
786487,1338,733,605,318,287,1,286
786488,1338,892,446,159,287,1,286
786489,1338,892,446,0,446,1,445
786490,1338,1051,287,0,287,1,286
786491,1338,733,605,0,605,1,604
786492,1338,1051,287,0,287,1,286
786493,1338,1051,287,0,287,1,286
786494,1338,892,446,0,446,1,445
786495,1338,733,605,0,605,1,604
786496,1338,733,605,0,605,1,604
786497,1338,1051,287,0,287,1,286
786498,1338,733,605,0,605,1,604
786499,1338,733,605,0,605,1,604
786500,1338,733,605,0,605,1,590
786501,1338,1051,287,0,287,1,286
786502,1338,892,446,0,446,1,445
786503,1338,733,605,318,287,1,286
786504,1338,892,446,159,287,1,286
786505,1338,1051,287,0,287,1,286
786506,1338,733,605,0,605,1,604
786507,1338,733,605,0,605,1,604
786508,1338,733,605,0,605,1,604
786509,1338,733,605,0,605,1,604
786510,1338,733,605,0,605,1,575
786511,1338,733,605,0,605,1,604
786512,1338,733,605,0,605,1,604
786513,1338,733,605,0,605,1,604
786514,1338,733,605,0,605,1,575
786515,1338,733,605,0,605,1,604
786516,1338,733,605,0,605,1,575
786517,1338,1051,287,0,287,1,285
786518,1338,1051,287,0,287,1,286
786519,1338,892,446,159,287,1,286
786520,1338,892,446,159,287,1,286
786521,1338,892,446,0,446,1,445
786522,1338,1051,287,0,287,1,286
786523,1338,733,605,0,605,1,604
786524,1338,1051,287,0,287,1,286
786525,1338,892,446,0,446,1,445
786526,1338,1051,287,0,287,1,286
786527,1338,892,446,159,287,1,272
786528,1338,892,446,159,287,1,286
786529,1338,892,446,0,446,1,445
786530,1338,1051,287,0,287,1,286
786531,1338,733,605,0,605,1,604
786532,1338,1051,287,0,287,1,286
786533,1338,892,446,0,446,1,445
786534,1338,1051,287,0,287,1,286
786535,1338,733,605,0,605,1,604
786536,1338,733,605,0,605,1,604
