pfn,tot_access_count,tlb_hit,tlb_tot_miss,tlb_miss_pt_hit,tlb_miss_pt_miss,tlb_miss_pt_miss_outstand,tlb_miss_pt_miss_pending
786432,32896,32736,160,128,1,1,0
786433,5762,5632,130,128,1,1,0
786434,126,0,126,128,1,1,0
786435,130,0,130,128,1,1,0
786436,126,8,118,120,1,1,0
786437,130,0,130,128,1,1,0
786438,128,0,128,18,110,1,109
786439,126,16,110,112,1,1,0
786440,130,24,106,106,1,1,0
786441,126,16,110,110,1,1,0
786442,130,20,110,108,1,1,0
786443,126,20,106,108,1,1,0
786444,130,0,130,128,1,1,0
786445,128,0,128,8,120,1,119
786446,126,20,106,108,1,1,0
786447,130,24,106,106,1,1,0
786448,126,20,106,106,1,1,0
786449,130,20,110,108,1,1,0
786450,126,20,106,108,1,1,0
786451,130,0,130,128,1,1,0
786452,128,0,128,91,37,1,36
786453,126,24,102,104,1,1,0
786454,130,24,106,104,1,1,0
786455,126,32,94,96,1,1,0
786456,130,24,106,104,1,1,0
786457,126,32,94,96,1,1,0
786458,130,4,126,124,1,1,0
786459,128,24,104,104,1,1,0
786460,126,24,102,104,1,1,0
786461,130,24,106,104,1,1,0
786462,126,20,106,108,1,1,0
786463,130,0,130,128,1,1,0
786464,126,12,114,116,1,1,0
786465,130,4,126,126,1,1,0
786466,128,0,128,41,85,1,84
786467,126,28,98,100,1,1,0
786468,130,28,102,100,1,1,0
786469,16510,16380,130,100,1,1,0
786470,22146,22044,102,100,1,1,0
786471,126,16,110,112,1,1,0
786472,128,0,128,128,1,1,0
786473,130,28,102,100,1,1,0
786474,126,36,90,92,1,1,0
786475,130,28,102,100,1,1,0
786476,126,44,82,84,1,1,0
786477,130,20,110,110,1,1,0
786478,126,0,126,126,1,1,0
786479,128,20,108,108,1,1,0
786480,130,0,130,128,1,1,0
786481,126,4,122,124,1,1,0
786482,130,0,130,128,1,1,0
786483,126,8,118,120,1,1,0
786484,130,4,126,126,1,1,0
786485,126,0,126,126,1,1,0
786486,128,4,124,124,1,1,0
786487,130,0,130,128,1,1,0
786488,126,0,126,128,1,1,0
786489,130,0,130,128,1,1,0
786490,126,0,126,128,1,1,0
786491,130,0,130,128,1,1,0
786492,126,8,118,120,1,1,0
786493,128,0,128,128,1,1,0
786494,130,24,106,104,1,1,0
786495,126,0,126,128,1,1,0
786496,130,8,122,122,1,1,0
786497,126,0,126,126,1,1,0
786498,130,20,110,108,1,1,0
786499,126,4,122,124,1,1,0
786500,128,0,128,128,1,1,0
786501,130,24,106,104,1,1,0
786502,126,0,126,128,1,1,0
786503,130,4,126,126,1,1,0
786504,126,0,126,126,1,1,0
786505,130,24,106,104,1,1,0
786506,126,0,126,128,1,1,0
786507,32896,32736,160,128,1,1,0
786508,5762,5632,130,128,1,1,0
786509,126,0,126,128,1,1,0
786510,130,0,130,128,1,1,0
786511,126,8,118,120,1,1,0
786512,130,0,130,128,1,1,0
786513,128,0,128,98,30,1,29
786514,126,16,110,112,1,1,0
786515,130,24,106,106,1,1,0
786516,126,16,110,110,1,1,0
786517,130,40,90,88,1,1,0
786518,126,20,106,108,1,1,0
786519,130,0,130,128,1,1,0
786520,128,0,128,30,98,1,97
786521,126,20,106,108,1,1,0
786522,130,24,106,106,1,1,0
786523,126,20,106,106,1,1,0
786524,130,20,110,108,1,1,0
786525,126,20,106,108,1,1,0
786526,130,0,130,128,1,1,0
786527,128,0,128,101,27,1,26
786528,126,24,102,104,1,1,0
786529,130,24,106,104,1,1,0
786530,126,32,94,96,1,1,0
786531,130,24,106,104,1,1,0
786532,126,36,90,92,1,1,0
786533,130,4,126,124,1,1,0
786534,128,0,128,76,52,1,51
786535,126,28,98,100,1,1,0
786536,130,28,102,100,1,1,0
786537,126,32,94,96,1,1,0
786538,130,28,102,100,1,1,0
786539,126,20,106,108,1,1,0
786540,130,8,122,120,1,1,0
786541,128,0,128,94,34,1,33
786542,126,0,126,128,1,1,0
786543,130,0,130,128,1,1,0
786544,16510,16352,158,128,1,1,0
786545,22146,22016,130,128,1,1,0
786546,126,0,126,128,1,1,0
786547,128,0,128,128,1,1,0
786548,130,0,130,128,1,1,0
786549,126,8,118,120,1,1,0
786550,130,0,130,128,1,1,0
786551,126,12,114,116,1,1,0
786552,130,8,122,122,1,1,0
786553,126,0,126,126,1,1,0
786554,128,20,108,108,1,1,0
786555,130,0,130,128,1,1,0
786556,126,4,122,124,1,1,0
786557,130,0,130,128,1,1,0
786558,126,12,114,116,1,1,0
786559,130,4,126,126,1,1,0
786560,126,0,126,126,1,1,0
786561,128,4,124,124,1,1,0
786562,130,0,130,128,1,1,0
786563,126,0,126,128,1,1,0
786564,130,0,130,128,1,1,0
786565,126,0,126,128,1,1,0
786566,130,0,130,128,1,1,0
786567,126,8,118,120,1,1,0
786568,128,0,128,128,1,1,0
786569,130,24,106,104,1,1,0
786570,126,0,126,128,1,1,0
786571,130,8,122,122,1,1,0
786572,126,0,126,126,1,1,0
786573,130,24,106,104,1,1,0
786574,126,4,122,124,1,1,0
786575,128,0,128,128,1,1,0
786576,130,24,106,104,1,1,0
786577,126,0,126,128,1,1,0
786578,130,4,126,126,1,1,0
786579,126,0,126,126,1,1,0
786580,130,28,102,100,1,1,0
786581,126,0,126,128,1,1,0
786582,32896,32736,160,128,1,1,0
786583,5762,5632,130,128,1,1,0
786584,126,0,126,128,1,1,0
786585,130,0,130,128,1,1,0
786586,126,8,118,120,1,1,0
786587,130,0,130,128,1,1,0
786588,128,0,128,0,128,1,127
